,Country,Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
853,Mali,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Mali,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-2.643,-2.798,-3.094,-1.187,-2.36,-2.764,27.783,-2.784,-1.977,-3.717,-2.568,-3.417,-0.956,-2.372,-2.886,-1.822,-3.942,-2.862,-4.77,-1.679,-5.811,-3.3
856,Malta,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,0.608,2.982,2.544,0.442,3.785,1.828,3.987,3.347,-2.462,3.543,1.359,2.794,4.839,8.791,10.858,5.83,6.471,7.314,4.384,-2.814,7.018
861,Malta,Unemployment rate,,,,12.5,12.5,12.2,11,8.2,6.2,4.636,4.8,4.4,4.9,5.4,5.4,4.9,5.2,6.2,6.6,7.1,6.758,7.617,7.025,7.567,7.217,6.942,6.817,6.467,5.975,6.883,6.842,6.392,6.2,6.108,5.733,5.392,4.7,4.0,3.667,3.425,5,4.4
862,Malta,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-5.828,-6.526,-5.651,-9.143,-4.42,-2.614,-2.518,-2.147,-4.182,-3.239,-2.393,-2.409,-3.488,-2.426,-1.747,-1.082,0.912,3.415,1.905,1.294,-7.227,-0.446
863,Malta,Current account balance,,,,,,,,,,,,,,,,-4.869,-5.273,-2.747,-2.674,-1.512,-5.161,-1.564,0.997,-1.232,-5.488,-8.163,-9.353,-3.87,-1.052,-6.579,-4.657,-0.201,1.703,2.664,8.746,2.802,3.813,10.523,10.421,8.433,3.332,6.091
864,Marshall Islands,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,-0.819,-1.255,1.354,6.826,3.741,-1.616,0.949,2.285,0.668,2.769,-6.753,1.444,7.555,-0.756,-2.37,3.718,-0.94,1.591,1.307,4.057,3.625,2.411,-0.24,3.19
865,Marshall Islands,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,0.105,0.105,0.105,0.109,0.119,0.125,0.126,0.13,0.137,0.142,0.15,0.143,0.146,0.159,0.161,0.16,0.169,0.17,0.175,0.179,0.19,0.202,0.21,0.211,0.222
866,Marshall Islands,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,-2.29,-2.832,0.58,8.288,5.464,-2.169,0.018,0.835,0.095,2.139,-7.961,1.828,6.25,-1.2,-2.732,3.334,-1.307,1.215,0.932,3.671,3.241,1.8,-0.835,2.371
867,Marshall Islands,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,2.016,3.486,5.253,2.637,14.675,0.478,1.768,5.353,4.341,1.851,1.098,-2.236,-1.508,0.063,0.755,0.557,-0.871,2.245
868,Marshall Islands,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,2.371,6.181,2.575,4.327,16.614,-5.825,5.237,6.324,2.906,1.851,1.098,-2.236,-1.508,0.063,0.355,0.557,-0.871,2.245
869,Marshall Islands,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Marshall Islands,General government net lending/borrowing,,,,,,,,,,,,,,,,,,7.85,13.515,8.936,7.819,7.821,5.134,10.531,-1.587,-21.659,0.232,0.26,3.528,1.507,3.489,2.108,-0.753,-0.229,3.219,2.798,3.9,4.393,2.538,1.986,0.34,-0.306
871,Marshall Islands,Current account balance,,,,,,,,,,,,,,,,,,-9.276,-7.889,-9.156,-10.767,-2.423,9.144,2.414,6.446,7.794,-0.841,3.806,0.764,-10.279,-14.834,1.016,-0.422,-6.212,3.421,17.221,16.134,7.529,6.516,3.662,-0.891,-3.68
872,Mauritania,"Gross domestic product, constant prices",,,,,,,,,,,,--,1.772,5.874,-3.061,9.82,5.819,-4.045,2.778,7.713,-3.918,-0.799,1.381,6.928,4.733,8.566,18.333,-1.969,-0.331,0.098,2.62,4.173,4.47,4.151,4.275,5.376,1.261,3.497,2.115,5.861,-1.986,4.18
873,Mauritania,"Gross domestic product, current prices",,,,,,,,,,,5.683,5.875,6.116,6.628,6.563,7.358,7.929,7.74,8.044,8.79,8.634,8.753,9.014,9.818,10.559,11.821,14.411,14.507,14.74,14.867,15.434,16.414,17.477,18.522,19.671,20.944,21.428,22.595,23.635,25.456,25.109,26.669
874,Mauritania,"Gross domestic product per capita, constant prices",,,,,,,,,,,,-2.678,-0.987,2.973,-5.736,6.773,2.873,-6.723,-0.103,4.675,-6.645,-3.63,-1.514,3.898,1.817,5.619,22.106,-4.654,-2.987,-2.493,0.04,1.557,1.926,1.682,1.856,2.972,-1.077,1.151,-0.157,3.549,-4.088,1.904
875,Mauritania,"Inflation, average consumer prices",,,,,,,,,,,,5.629,10.142,9.37,4.128,6.544,4.681,4.625,8.032,4.074,3.254,4.715,3.896,5.152,10.368,12.126,6.241,7.254,7.45,2.137,6.262,5.686,4.902,4.131,3.772,0.486,1.472,2.269,3.053,2.306,3.851,4.5
876,Mauritania,"Inflation, end of period consumer prices",,,,,,,,,,,,3.606,17.562,1.493,2.699,9.001,4.479,5.533,8.25,1.927,5.578,1.732,8.402,2.398,16.144,5.805,8.887,7.41,3.906,4.915,6.143,5.472,3.405,4.486,5.001,-2.83,2.77,1.236,3.154,2.702,5,4.0
877,Mauritania,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Mauritania,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,-3.056,-3.158,2.05,-1.382,-3.321,-3.592,-0.451,0.074,1.666,-0.662,-2.64,-2.442,0.132,0.534,3.421,2.754,-2.625,-0.185
879,Mauritania,Current account balance,,,,,,,,,,,-7.262,-4.062,-3.355,-5.149,-1.172,0.347,-0.156,-1.534,-0.866,-1.518,-5.486,-7.484,1.969,-8.548,-21.887,-29.863,3.765,-9.406,-9.403,-10.409,-6.357,-3.829,-18.773,-17.214,-22.231,-15.467,-11.019,-10.039,-13.843,-10.597,-17.349,-17.401
884,Mauritius,"Inflation, end of period consumer prices",,15.546,12.909,4.856,6.994,7.067,2.805,1.204,8.283,14.366,10.44,8.567,6.379,14.987,5.988,6.017,7.449,5.066,9.047,4.89,4.757,4.983,5.133,3.912,5.601,3.913,11.883,8.617,6.779,1.472,6.177,4.81,3.179,4.063,0.239,1.281,2.325,4.271,1.76,0.879,8.5,5.643
885,Mauritius,Unemployment rate,,,20.563,19.721,17.623,15.306,10.941,5.963,3.888,3.6,2.824,2.732,3.342,3.939,4.492,5.116,5.785,6.561,6.888,7.698,6.501,6.8,7.2,7.698,8.395,9.567,9.081,8.522,7.222,7.328,7.8,7.9,8.1,8.0,7.8,7.9,7.3,7.1,6.9,6.7,17,9.0
886,Mauritius,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-4.249,-5.39,-4.957,-4.616,-4.276,-4.256,-3.916,-2.96,-2.663,-3.36,-2.997,-3.038,-1.754,-3.355,-3.127,-3.577,-3.462,-1.421,-2.344,-6.474,-10.558,-5.89
892,Mexico,"Inflation, end of period consumer prices",,27.414,98.9,80.701,59.184,63.739,105.755,159.174,51.657,19.697,29.93,18.795,11.938,8.009,7.051,51.966,27.704,15.719,18.609,12.319,8.959,4.403,5.7,3.977,5.191,3.333,4.053,3.759,6.528,3.574,4.402,3.819,3.568,3.974,4.081,2.131,3.36,6.773,4.831,2.829,2.435,3.0
894,Mexico,General government net lending/borrowing,,,,,,,,,,,-3.295,1.58,2.393,-1.603,-2.365,-2.405,-3.844,-3.636,-4.756,-4.721,-2.815,-2.707,-2.29,-2.355,-1.41,-1.499,-1.282,-1.527,-0.713,-4.125,-3.975,-3.336,-3.726,-3.707,-4.537,-4.0,-2.767,-1.064,-2.201,-2.321,-4.2,-2.2
896,Micronesia,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,-3.087,-6.061,2.746,1.527,4.86,2.089,0.613,1.606,-3.137,2.058,-0.115,-1.939,-2.194,1.031,2.259,3.189,-1.867,-3.68,-2.306,4.622,0.9,2.682,0.212,1.183,-0.384,1.385
897,Micronesia,"Gross domestic product, current prices",,,,,,,,,,,,,,,,0.218,0.215,0.205,0.213,0.22,0.236,0.246,0.251,0.26,0.259,0.272,0.28,0.282,0.281,0.286,0.296,0.312,0.312,0.306,0.304,0.322,0.328,0.343,0.352,0.362,0.363,0.376
898,Micronesia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,-3.314,-6.281,2.504,1.287,4.612,2.367,0.888,1.884,-2.871,2.338,0.401,-1.43,-1.684,1.561,2.799,3.56,-1.623,-3.563,-2.324,4.445,0.94,2.672,0.151,1.072,-0.494,1.274
899,Micronesia,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,2.796,2.667,1.633,1.919,1.839,1.317,-0.159,-0.245,1.745,4.087,4.396,3.639,6.554,7.712,3.701,4.059,6.274,2.154,0.679,-0.158,-0.556,0.126,1.49,1.756,1.951,2.0
900,Micronesia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,2.675,-0.603,-0.39,1.082,3.199,3.908,4.865,3.509,10.786,3.618,3.223,7.546,2.5,0.393,0.679,-0.158,-0.556,0.126,1.49,1.756,1.951,2.0
901,Micronesia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Micronesia,General government net lending/borrowing,,,,,,,,,,,,,,,,-0.451,2.362,2.628,-3.278,-5.183,-3.479,-5.447,7.135,2.592,-3.711,-5.561,-5.361,-3.497,-1.541,1.858,0.457,-0.575,0.885,2.863,11.125,10.345,7.256,14.241,24.986,16.444,5.676,5.241
903,Micronesia,Current account balance,,,,,,,,,,,,,,,,-9.177,-19.268,-31.141,-25.247,-20.971,-14.596,-17.408,-9.99,-5.951,-18.41,-10.064,-15.423,-10.675,-18.949,-21.145,-17.542,-19.264,-13.561,-9.941,6.11,4.457,7.155,10.279,21.04,17.087,3.371,5.271
904,Moldova,"Gross domestic product, constant prices",,,,,,,,,,,,,,-1.2,-30.9,-1.428,-5.9,1.6,-6.5,-3.4,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,7.1,5.818,-0.59,9.044,5.0,-0.338,4.409,4.691,4.002,3.58,-3,4.1
905,Moldova,"Gross domestic product, current prices",,,,,,,,,,,,,11.827,11.962,8.442,8.496,8.141,8.414,7.956,7.796,8.138,8.823,9.662,10.491,11.571,12.826,13.848,14.647,16.097,15.246,16.519,17.845,18.08,20.061,21.454,21.604,22.79,24.309,25.897,27.292,26.642,28.275
906,Moldova,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-0.943,-30.978,-1.319,-5.6,1.938,-6.354,-3.245,2.352,6.313,8.083,6.921,7.609,7.814,5.058,3.242,7.957,-5.899,7.198,5.845,-0.589,9.101,5.073,0.522,5.159,6.364,5.891,5.459,-3,5.988
907,Moldova,"Inflation, average consumer prices",,,,,,,,,,,,,,788.503,329.636,30.216,23.506,11.773,7.696,39.262,31.206,9.641,5.219,11.667,12.426,11.851,12.707,12.382,12.704,0.006,7.358,7.65,4.558,4.569,5.058,9.628,6.382,6.576,3.059,4.849,2.778,2.255
908,Moldova,"Inflation, end of period consumer prices",,,,,,,,,,,,,,837.0,116.1,23.8,15.1,11.1,18.2,43.8,18.5,6.4,4.441,15.697,12.464,10.037,14.081,13.111,7.339,0.441,8.081,7.779,3.954,5.177,4.68,13.528,2.368,7.334,0.9,7.5,0.5,6.0
909,Moldova,Unemployment rate,,,,,,,,,,,,,,2.899,15.0,14.4,13.0,12.0,9.232,11.118,8.5,7.3,6.8,7.9,8.1,7.3,7.4,5.1,4.0,6.4,7.4,6.7,5.6,5.1,3.9,5.016,4.226,4.13,3.022,3.022,3.022,5.0
910,Moldova,General government net lending/borrowing,,,,,,,,,,,,,,,,-2.583,-7.423,-7.471,-1.522,-2.639,-3.546,-0.345,-1.179,0.47,0.593,1.441,-0.419,0.148,-0.871,-6.383,-2.178,-2.05,-1.931,-1.565,-1.585,-1.943,-1.758,-0.807,-1.057,-1.515,-5.5,-3.3
911,Moldova,Current account balance,,,,,,,,,,,,,-4.505,-16.283,-8.427,-5.87,-11.324,-14.257,-19.728,-5.793,-7.47,-1.808,-1.191,-6.57,-1.776,-7.556,-11.337,-15.248,-16.112,-8.923,-6.901,-10.121,-7.391,-5.163,-5.976,-5.991,-3.497,-5.743,-10.712,-8.853,-8.28,-10.079
914,Mongolia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,-11.369,-10.915,-4.061,1.179,4.801,0.752,2.48,1.898,1.622,-0.1,3.379,3.847,6.091,8.269,5.282,6.816,7.213,5.978,-3.884,5.576,15.176,10.123,9.266,5.52,0.31,-0.847,3.416,5.24,3.093,-2.846,5.986
915,Mongolia,"Inflation, average consumer prices",,,,,,,,,,,,120.2,202.875,268.414,193.414,0.218,46.831,30.032,9.549,7.418,11.43,6.353,1.049,5.046,8.235,12.655,4.412,9.631,27.956,7.62,10.046,8.411,14.33,10.491,12.254,5.736,0.725,4.318,6.828,7.26,5.586,6.5
916,Mongolia,"Inflation, end of period consumer prices",,,,,,,,,,,,208.6,325.478,182.976,66.3,53.105,44.576,15.898,6.132,9.333,8.537,7.865,1.736,4.437,11.111,9.412,4.839,17.772,22.072,4.244,12.92,8.934,14.101,12.484,10.426,1.015,1.307,6.349,8.209,5.172,6,7.0
917,Mongolia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,9.2,11.6,9.9,7.7,8.2,7.9,7.9,7.5,10.0,8.8,7.8,7.02,6.318,5.686
918,Mongolia,General government net lending/borrowing,,-2.645,-2.369,-2.712,-2.969,-3.361,-10.966,-11.704,-12.273,-10.069,-8.014,-5.446,-6.932,-11.414,-8.33,-4.25,-5.889,-6.924,-10.555,-8.477,-4.98,-3.696,-4.048,-2.895,-1.39,2.435,7.585,2.639,-4.521,-5.199,0.425,-4.014,-6.244,-0.927,-3.725,-4.987,-15.288,-3.784,2.93,1.331,-5.252,-3.777
919,Mongolia,Current account balance,,,,,,,,,,,,-2.878,-2.065,3.45,3.473,1.522,-2.341,5.368,-5.742,-4.882,-4.084,-9.448,-6.734,-5.493,1.04,1.179,6.491,6.253,-12.836,-7.837,-12.964,-26.5,-27.386,-25.362,-11.277,-3.992,-6.27,-10.113,-16.797,-12.379,-10.201,-10.477
920,Montenegro,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.724,3.549,1.784,3.39,2.949,4.716,5.078,3.609,-8.976,6.472
921,Montenegro,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,,,4.939,5.103,5.282,5.515,5.912,6.353,7.108,7.795,8.519,8.086,8.401,8.851,8.775,9.246,9.585,10.013,10.415,11.112,11.96,12.608,11.549,12.537
922,Montenegro,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,0.701,1.499,2.081,4.213,4.047,8.476,6.644,7.009,-5.998,2.518,3.084,-2.802,3.449,1.685,3.324,2.933,4.7,5.112,3.542,-9.035,6.404
923,Montenegro,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,29.864,23.729,19.701,7.502,3.099,3.446,2.116,3.365,9.0,3.551,0.381,3.451,4.141,2.207,-0.714,1.549,-0.258,2.373,2.604,0.366,0.659,0.88
924,Montenegro,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,25.69,27.86,9.361,6.23,4.164,1.8,2.8,7.7,7.2,1.5,0.444,3.646,5.117,0.304,-0.303,1.42,1.0,1.881,1.652,1.052,0.355,1.205
925,Montenegro,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Montenegro,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,-1.439,-4.05,-2.45,-1.414,4.331,8.431,-2.296,-6.712,-4.869,-6.734,-5.843,-4.491,-0.698,-5.997,-6.178,-6.914,-6.541,-3.592,-10.849,-2.804
927,Montenegro,Current account balance,,,,,,,,,,,,,,,,,,,,,,-13.628,-11.505,-6.865,-7.176,-16.626,-31.654,-40.07,-49.471,-27.732,-20.31,-14.777,-15.28,-11.391,-12.41,-10.991,-16.235,-16.085,-17.001,-15.143,-17.949,-13.975
933,Morocco,Unemployment rate,,,,,,,,,,,,,,,,16.0,15.5,15.4,15.2,13.942,13.395,12.256,11.334,11.432,10.796,11.058,9.672,9.795,9.568,9.095,9.063,8.912,8.988,9.235,9.879,9.707,9.4,10.2,9.8,9.2,12.5,10.5
934,Morocco,General government net lending/borrowing,,,,,,,,,,,-1.433,-0.97,-1.996,-2.166,-2.718,-2.748,0.939,1.622,1.591,3.469,-2.136,-4.102,-4.728,-4.053,-3.586,-5.904,-1.948,-0.126,0.677,-1.763,-4.256,-6.575,-7.177,-5.088,-4.848,-4.171,-4.484,-3.493,-3.736,-4.115,-7.109,-4.486
940,Mozambique,"Inflation, end of period consumer prices",,9.521,23.339,29.701,29.79,33.893,41.397,185.325,51.327,28.38,47.099,35.214,54.5,43.638,56.558,56.537,19.343,6.197,-0.956,6.216,11.438,21.935,9.119,13.815,9.067,11.148,9.374,10.264,11.817,2.258,17.44,6.14,2.016,3.537,1.927,10.554,23.666,5.648,3.524,3.503,6,5.501
941,Mozambique,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Myanmar,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,8.432,12.418,12.468,9.928,13.196,15.318,13.567,13.307,12.5,7.558,4.385,5.247,5.471,6.486,7.899,8.2,7.473,6.408,5.75,6.405,6.5,1.799,7.535
945,Myanmar,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,39.599,43.558,50.061,57.538,64.25,74.079,87.726,102.731,119.924,138.54,151.909,159.78,170.123,183.179,198.801,218.267,240.535,261.201,280.818,302.558,329.78,357.339,366.079,401.34
946,Myanmar,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,6.898,10.93,11.147,8.834,12.264,14.521,12.866,12.623,11.802,6.871,3.696,4.518,4.699,5.658,7.01,7.273,6.547,5.516,4.903,5.594,5.728,1.098,6.83
947,Myanmar,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,47.286,26.795,4.254,-19.331,22.621,47.469,8.005,6.886,16.551,34.437,20.911,3.692,5.924,6.829,0.36,5.763,5.143,7.259,9.099,4.622,5.944,8.627,6.19,6.267
948,Myanmar,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,50.678,9.672,-1.144,-20.013,60.138,24.111,3.068,9.982,24.801,34.227,14.362,-0.121,6.5,3.017,4.116,5.713,3.598,13.591,3.877,3.403,8.588,9.511,5.431,6.107
949,Myanmar,Unemployment rate,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0
950,Myanmar,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,-4.623,-4.213,-5.582,-5.83,-3.724,-3.918,-4.255,-3.254,-3.209,-3.296,-2.579,-3.31,-4.96,-4.43,-2.651,-1.717,-1.315,-2.783,-3.868,-2.739,-3.013,-3.499,-4.687,-4.643
951,Myanmar,Current account balance,,,,,,,,,,,,,,,,,,,-21.239,-13.607,-8.165,-6.776,-1.571,1.177,2.243,5.182,7.235,2.716,-3.128,-3.043,4.709,-1.873,-1.833,-1.239,-4.46,-3.441,-4.154,-6.507,-4.186,-2.002,-4.746,-3.854
952,Namibia,"Gross domestic product, constant prices",,,,,,,,,,,,5.343,9.27,-1.62,3.005,4.115,3.196,4.216,3.291,3.366,3.497,2.393,6.68,3.477,6.632,4.67,3.948,3.646,2.65,0.296,6.039,5.091,5.062,5.615,5.758,4.527,-0.281,-0.062,0.342,-1.395,-2.484,3.196
953,Namibia,"Gross domestic product, current prices",,,,,,,,,,,5.571,6.068,6.781,6.829,7.185,7.637,8.026,8.508,8.887,9.319,9.86,10.318,11.181,11.785,12.905,13.928,14.916,15.875,16.613,16.789,18.011,19.323,20.69,22.236,23.951,25.296,25.486,25.95,26.673,26.76,26.261,27.629
954,Namibia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,1.032,5.326,-4.788,-0.025,1.185,0.116,0.966,0.096,0.22,2.197,2.287,4.953,1.782,4.861,2.848,2.121,3.558,1.133,-1.186,4.472,3.538,3.143,8.689,2.514,2.354,0.174,-1.238,0.299,-3.233,-4.302,1.272
955,Namibia,"Inflation, average consumer prices",,,,,,,,,,,,13.512,21.551,9.329,12.056,11.123,8.704,9.679,6.617,9.382,10.215,10.212,12.716,7.215,4.137,2.282,4.961,6.548,9.095,9.452,4.875,5.006,6.722,5.601,5.348,3.396,6.727,6.147,4.294,3.721,2.432,3.163
956,Namibia,"Inflation, end of period consumer prices",,,,,,,,,,,,22.099,12.127,10.791,12.693,8.591,9.227,7.38,9.485,8.564,12.09,9.044,14.254,2.576,4.233,3.585,6.033,5.523,11.165,7.926,3.06,7.397,6.383,4.894,4.634,3.696,7.298,5.167,5.15,2.588,2.432,3.163
957,Namibia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Namibia,General government net lending/borrowing,,,,,,,,,,,0.955,-1.545,-2.717,-2.819,-0.603,-1.881,-4.072,-2.65,-3.159,-1.97,-0.77,-1.952,-1.371,-4.355,-2.64,-0.299,3.182,5.806,3.418,-0.395,-4.87,-6.772,-3.029,-4.539,-6.352,-8.183,-9.168,-5.0,-5.314,-4.689,-6.951,-7.212
959,Namibia,Current account balance,,,,,,,,,,,0.971,3.682,1.651,3.812,2.623,5.022,3.313,2.486,5.033,-0.816,4.897,0.297,2.548,5.388,6.745,4.593,13.557,8.578,-0.112,-1.47,-3.462,-3.047,-5.703,-4.208,-11.137,-12.822,-15.786,-3.975,-2.732,-2.288,-0.437,-1.042
960,Nauru,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,,,,,,,-0.356,8.329,-22.185,20.381,9.086,11.113,10.778,10.367,30.969,27.229,3.418,3.02,-5.496,5.703,0.959,-1.675,1.301
961,Nauru,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.036,0.04,0.032,0.04,0.043,0.049,0.055,0.062,0.083,0.107,0.112,0.117,0.112,0.122,0.125,0.124,0.128
962,Nauru,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,,,,,0.912,18.046,-23.482,18.357,7.271,6.445,9.593,7.261,25.583,16.152,-1.738,-1.512,-8.302,7.685,5.284,-3.561,-0.643
963,Nauru,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,8.662,19.302,5.601,1.035,22.422,-1.968,-3.37,0.262,-1.105,0.275,9.784,8.15,5.082,0.463,3.893,1.5,1.7
964,Nauru,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,0.186,22.293,5.136,3.853,18.311,-5.592,-0.972,0.321,-1.754,9.987,3.51,8.215,1.58,3.4,2.296,1.3,1.6
965,Nauru,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Nauru,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,0.093,2.722,8.411,1.641,27.817,10.456,21.45,21.385,32.485,16.118,5.276,2.521
967,Nauru,Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.408,64.468,48.013,28.71,35.653,49.453,25.229,-21.312,2.034,12.666,-4.585,5.018,5.195,2.713
972,Nepal,"Inflation, end of period consumer prices",,10.9,11.349,14.414,1.565,6.899,21.696,9.14,8.967,10.229,5.561,15.136,19.3,5.861,9.082,8.697,5.993,5.673,12.011,9.017,0.596,3.407,3.51,6.09,2.022,6.65,8.273,4.732,10.695,11.087,9.026,9.582,11.475,7.749,8.084,7.576,10.439,2.711,4.58,6.021,7.498,6.0
973,Nepal,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Nepal,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-1.689,-2.685,-2.811,-0.386,-0.164,0.279,0.268,-0.766,-0.332,-2.552,-0.766,-0.818,-1.342,1.81,1.531,0.657,1.352,-3.094,-6.651,-4.561,-5.975,-4.995
976,Netherlands,"Gross domestic product, constant prices",,-0.514,-1.283,1.758,3.118,2.656,3.126,1.85,4.585,4.481,4.178,2.451,1.589,1.264,3.009,2.773,3.494,4.328,4.668,5.032,4.199,2.328,0.217,0.158,1.983,2.047,3.462,3.772,2.172,-3.667,1.341,1.55,-1.031,-0.127,1.424,1.958,2.192,2.911,2.597,1.811,-7.493,2.983
978,Netherlands,"Gross domestic product per capita, constant prices",,-1.337,-1.817,1.377,2.724,2.236,2.589,1.253,3.876,3.843,3.567,1.647,0.792,0.533,2.321,2.223,3.028,3.837,4.086,4.326,3.518,1.54,-0.519,-0.382,1.573,1.749,3.28,3.621,1.877,-4.137,0.796,1.057,-1.472,-0.42,1.124,1.527,1.72,2.294,2.003,1.515,-7.761,2.686
979,Netherlands,"Inflation, average consumer prices",,6.8,5.9,2.9,3.4,2.3,--,-1.0,0.5,1.1,2.5,3.175,2.838,1.645,2.12,1.346,1.448,1.855,1.784,2.039,2.344,5.115,3.853,2.224,1.385,1.491,1.653,1.587,2.212,0.972,0.93,2.47,2.818,2.556,0.32,0.218,0.114,1.297,1.602,2.673,0.495,1.154
980,Netherlands,"Inflation, end of period consumer prices",,7.262,4.281,2.969,2.799,1.65,-0.313,-0.5,1.205,1.29,4.676,4.094,1.701,1.55,1.949,1.008,1.908,2.189,1.494,2.027,3.062,5.294,3.298,1.578,1.255,1.947,1.713,1.593,1.658,0.694,1.806,2.451,3.305,1.31,-0.14,0.452,0.76,1.27,1.881,2.817,0.825,1.254
988,New Zealand,"Inflation, end of period consumer prices",,,,,,,18.372,9.524,4.734,7.156,4.745,1.007,1.329,1.475,2.746,2.83,2.599,0.894,0.295,0.589,3.953,1.831,2.628,1.617,2.653,3.23,2.628,3.171,3.31,2.059,3.924,1.942,0.952,1.572,0.722,0.102,1.331,1.616,1.889,1.854,1.002,1.508
990,New Zealand,General government net lending/borrowing,,,,,,-7.009,-5.368,-3.463,-1.912,-2.192,-2.763,-6.174,-6.299,-1.556,1.966,3.67,2.55,1.209,-0.505,-1.14,0.145,1.262,2.526,3.655,4.467,5.106,4.592,3.568,1.445,-1.841,-5.4,-4.91,-2.202,-1.297,-0.44,0.317,1.024,1.288,1.429,-1.619,-5.181,-3.388
994,Nicaragua,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,2.854,3.49,1.282,1.665,4.939,2.035,0.891,-1.269,0.469,3.214,2.217,3.069,3.707,2.098,-4.529,3.096,3.106,5.191,3.846,3.705,3.712,3.485,3.553,-4.94,-4.87,-5.547,-0.732
996,Nicaragua,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,11.119,12.103,7.251,18.463,7.193,9.873,4.838,3.873,6.48,9.256,9.583,9.447,16.877,13.774,0.933,9.23,7.95,6.619,5.675,6.48,3.052,3.13,5.678,3.885,0.0,10.194,3.956
